=== VSI Log Started at 11/16/2025 11:18:12 PM ===
Zero Marker set to: 90°
Needle initialized to 90° (zero marker). Actual rotation: 90°
Frame 60: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 120: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 180: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 240: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 300: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 360: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 420: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 480: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 540: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 600: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 660: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 720: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 780: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 840: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 900: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 960: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1020: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1080: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1140: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1200: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1260: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1320: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1380: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1440: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1500: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1560: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1620: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1680: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1740: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1800: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1860: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1920: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 1980: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2040: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2100: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2160: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2220: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2280: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2340: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2400: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2460: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2520: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2580: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2640: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2700: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2760: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2820: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2880: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 2940: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3000: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3060: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3120: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3180: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3240: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3300: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3360: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3420: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3480: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3540: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3600: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3660: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3720: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3780: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3840: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3900: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 3960: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4020: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4080: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4140: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4200: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4260: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4320: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4380: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4440: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4500: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4560: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4620: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4680: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4740: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4800: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4860: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4920: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 4980: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5040: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5100: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5160: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5220: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5280: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5340: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5400: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5460: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5520: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5580: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5640: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5700: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5760: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5820: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5880: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 5940: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6000: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6060: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6120: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6180: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6240: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6300: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6360: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6420: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6480: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6540: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6600: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
Frame 6660: Speed=0.00 m/s, Rotation=0.0°, Current=90.0°, Target=90.0°
